,Word,Syllabification,FREQcount,Zipf
98044,uiteenjagen,uit-een-ja-gen,3,1.957562318194717
230550,inleren,in-le-ren,1,1.656532322530736
46807,goedmakertje,goed-ma-ker-tje,13,2.501630362544993
175319,studioproducers,stu-di-o-pro-du-cers,1,1.656532322530736
268361,bernadotte,ber-na-dot-te,1,1.656532322530736
127713,pajo,pa-jo,2,1.832623581586417
223956,klotespeen,klo-te-speen,1,1.656532322530736
195427,plattelandsmens,plat-te-lands-mens,1,1.656532322530736
169201,traumatizeren,trau-ma-ti-ze-ren,1,1.656532322530736
188597,rimpelmotief,rim-pel-mo-tief,1,1.656532322530736
